"","dir","a","exp.a","G2","DP.rows","p.fisher.1","PMI","OR","Chi2"
"之/u",-1,1272,1641.60936490441,872.347391129465,-0.0109545069795196,1,-0.368012195614806,0.14518652121397,1668.59472729592
"我/r",1,10116,9691.00528436916,569.173940958469,0.0125960216939875,0,0.0619207074239566,6.34315259572047,378.230715701633
"多么/d",-1,37,129.200737052662,438.02346877793,-0.00273265158695706,1,-1.80401712435708,0.0196143946832995,1316.32768706381
"就/d",1,6230,5957.48398571503,392.716451370098,0.00807684778573617,0,0.0645289949303423,8.06170859266661,251.564284364623
"其/r",-1,500,650.753712360835,361.259714255057,-0.00446804856979838,1,-0.380183541921495,0.141595313612319,699.222538259047
"是/vl",-1,7738,8146.29647225425,329.245376842033,-0.0121011180443955,1,-0.0741835912400134,0.480563630117822,414.326065492417
"的/u",-1,45412,46200.6635613608,265.408425651748,-0.0233744631704705,1,-0.0248399964180326,0.723584319699057,289.07446732771
"我们/r",1,5309,5107.22913525817,226.475420397874,0.00598009833070563,0,0.0558993546092783,4.19512230624312,160.659978556287
"何等/d",-1,3,41.8002384582142,224.107192902786,-0.00114996405220266,1,-3.80047676665183,0.00384622362459152,720.433669376454
"已/d",-1,304,396.15225993353,221.243468513333,-0.0027312148188708,1,-0.381983708736771,0.141189914608041,429.024326354487
"程度/n",-1,132,197.601127257013,195.950699089594,-0.00194429057983189,1,-0.582053247518331,0.0912245652983944,435.750039733799
"才/d",1,2298,2192.61250821724,167.176873866718,0.00312348150211754,0,0.0677279252649382,12.1312593389961,101.649814867852
"当时/nt",-1,443,520.602969888668,139.302868598725,-0.00230000199128263,1,-0.232876843141201,0.22151879822622,231.559316158216
"深/a",-1,90,135.850774989196,138.296342240833,-0.00135892832359761,1,-0.594025889184407,0.0892427265319859,309.596286651066
"重要/a",-1,691,781.854460252507,137.269553864865,-0.00269275054546835,1,-0.17821436876906,0.274744328435424,211.420494206539
"要/vu",1,4625,4473.57552044842,135.464465305469,0.00448792881248242,0,0.0480249942558166,2.91063272483804,103.20550512755
"对/a",-1,3495,3668.9209301278,132.85927186023,-0.0051546801133198,1,-0.0700633574235442,0.498565024675337,165.809670412808
"地位/n",-1,125,172.900986349886,128.143629606734,-0.00141969262448586,1,-0.468018004272302,0.115243087741763,265.509332794136
"你/r",1,3602,3475.11982454881,126.266860510759,0.00376048309247304,0,0.0517354574218669,3.39774945610224,93.1401406902997
"并非/d",-1,59,95.9505473699917,120.602358920072,-0.00109514278450797,1,-0.701576082125646,0.0738454345138775,284.664373267738
"重视/v",-1,240,294.501680046509,112.94504848842,-0.00161532442398864,1,-0.295241458401412,0.180138981854264,201.83600033846
"说/v",1,2872,2766.41578159818,112.129329575815,0.00312931209875868,0,0.0540377448886625,3.79039090250279,80.9359593772104
"去/v",1,1861,1782.21016699113,106.206823964427,0.00233517831950504,0,0.0624105788080823,6.54436827038325,69.8565134988963
"来/vd",1,2561,2470.01409071266,91.62761594997,0.00269664644071962,0,0.0521879809459591,3.46510044819927,67.2850099801356
"大/a",-1,1475,1569.40895302204,87.0797228499482,-0.00279809883896357,1,-0.0895063810185718,0.437316665825173,113.861898052421
"叫/v",1,977,930.055305695266,83.4952429319594,0.00139134997714578,0,0.0710420536289976,25.743413008381,47.4613669911843
"把/p",1,2639,2550.76455137057,81.1921973451987,0.00261512810451133,0,0.0490616137178008,3.0270326433946,61.2826383179974
"作用/n",-1,248,291.651663787995,78.5299236846748,-0.00129375091931692,1,-0.233906183718997,0.220919512120425,130.738030520297
"与/c",-1,1449,1537.10876875888,78.1992411858826,-0.00261137355806882,1,-0.0851616616087407,0.450028990420596,101.251394496526
"相当/d",-1,177,212.801213969091,69.6562903329019,-0.00106107876460625,1,-0.265757020710299,0.197975326485171,120.51342757354
"觉得/v",1,878,836.954774583789,68.0015820241282,0.00121650112521937,4.44089209850063e-16,0.069071271879252,15.4205119759605,40.312459501324
"了/u",1,9524,9359.45339296196,66.0683015183424,0.00487684330109059,2.22044604925031e-16,0.0251433440356805,1.53562578563637,58.6772199774696
"也/d",1,4543,4434.62529824873,63.6437496949218,0.00321201663016497,1.11022302462516e-15,0.0348330956137019,1.9188088755225,53.3260145278424
"都/d",1,2690,2609.66488737987,63.06163145979,0.00238097741956635,1.77635683940025e-15,0.0437416136324378,2.48949474912976,49.6576028345748
"地/u",1,2224,2152.71228059803,61.7115856382569,0.0021128301766511,3.77475828372553e-15,0.0470012781672993,2.79255662530051,47.3705074728624
"已经/d",-1,406,451.252574264812,61.4486923746324,-0.00134119881067764,0.999999999999999,-0.152455434768827,0.309236373325254,90.8310725456327
"我国/n",-1,146,176.701008027906,61.0169073549874,-0.000909918521158017,0.999999999999999,-0.275341900963707,0.191908527051361,106.722757754942
"影响/v",-1,389,433.20247129422,60.7824611154711,-0.0013100757888799,0.999999999999999,-0.155271317914242,0.305141996970899,90.2730484131978
"时候/n",1,1270,1219.80695864425,59.8590041633243,0.00148762470344079,1.35447209004269e-14,0.0581756458015325,4.78100650290534,41.3864961532391
"他/r",1,8750,8601.34906819708,58.4778188279192,0.00440572621954079,1.35447209004269e-14,0.0247200616235217,1.52147744133464,52.0494832596528
"会/vu",1,1599,1542.80880127591,55.6017510225477,0.00166539849110654,9.54791801177635e-14,0.0516106575594631,3.37155064296981,41.0294326123268
"魅力/n",-1,18,33.2501896826704,55.2201028186627,-0.000451986137745764,0.999999999999992,-0.885365664238347,0.05569601010959,139.911957461059
"心目中/nl",-1,12,25.6501463266314,54.0157203387487,-0.00040456394616846,0.999999999999988,-1.095932650178,0.042083426561303,145.304259269416
"必须/d",1,1190,1143.80652508386,53.4530273378357,0.00136908528686216,3.3717473257866e-13,0.0571185326999113,4.47930876321637,37.3785497280913
"潜力/n",-1,28,44.6502547167288,53.3005280313246,-0.000493481358494136,0.999999999999975,-0.673241578355726,0.0775152046757629,124.200581205112
"发展/v",-1,780,834.104758325274,52.8850426875325,-0.00160356043157272,0.999999999999902,-0.0967544645214398,0.418184170245911,70.2852970449776
"不是/vl",-1,697,748.604270569836,52.883255172688,-0.00152945080890059,0.999999999999905,-0.103044622323646,0.402460074485812,71.2324795599822
"当/p",1,1302,1254.00715374643,51.0975398385137,0.00142241517443084,1.01807451358127e-12,0.0541838701841272,3.81200819305036,36.807624633267
"认为/v",1,964,924.355273178237,50.6408690982856,0.0011749930545793,1.6135981439902e-12,0.0605856927131576,5.64341635872403,34.0568322086818
"巨大/a",-1,58,77.9004443993992,50.6174699947442,-0.000589810696828902,0.999999999999864,-0.425578658226204,0.127103452806637,101.698095193642
"道教/n",-1,16,29.4501680046509,48.5789240311969,-0.000398636975339529,0.999999999999778,-0.880203959122568,0.0561115679926109,122.875037944184
"价值/n",-1,221,251.75143616879,48.070933025252,-0.000911413113756956,0.999999999999176,-0.187953638794822,0.264082918534049,75.1619357542112
"关系/n",-1,430,469.302677235405,46.7079857912413,-0.0011648553661523,0.999999999997977,-0.12618203073091,0.353165945339246,65.8825524771095
"所/u",-1,905,958.555468280412,46.5152096830084,-0.00158728053663072,0.999999999997328,-0.0829441258714821,0.457215835578715,59.9355845828647
"作者/n",-1,134,158.650905057313,45.4692085788211,-0.000730605166272359,0.999999999997325,-0.243622750751972,0.213535569403769,76.630623887011
"现在/nt",1,1237,1193.20680689811,43.8058046958764,0.00129794557455036,3.94986265916941e-11,0.0520013873490503,3.43065703296665,32.206467801825
"便/a",1,663,633.653614809747,43.0916817986809,0.000869770119253966,9.68282121149855e-11,0.0653144601923102,8.73028308351305,27.2108643716893
"严重/a",-1,102,123.500704535633,42.7824013688808,-0.000637239313352059,0.999999999990235,-0.275950119792652,0.191585266117817,74.8845975461692
"重要性/n",-1,22,35.1502005216801,42.1764485874941,-0.000389746519096132,0.999999999992879,-0.676029395727345,0.0771540919411808,98.4094116232646
"想/v",1,1403,1356.60773905295,41.9514363260228,0.0013749769204889,9.32398602770945e-11,0.0485113808551069,2.95741645606835,31.7971159964006
"时/nt",1,1675,1623.55926193382,41.9135058116385,0.00152460402166308,8.78097594636529e-11,0.0450010498206654,2.59654592222536,32.6790443646517
"给/p",1,1091,1051.65599939189,40.476487018389,0.00116608011102541,2.22946106021027e-10,0.0529882308063624,3.59259747102213,29.4874817944196
"这个/r",1,2799,2731.2655810765,40.4117997190531,0.00200751722035807,1.58057122945365e-10,0.0353418821181227,1.94205155730527,33.7359643212071
"看/v",1,1215,1173.25669308851,39.9160751050108,0.00123719091108088,2.77238232371246e-10,0.0504376232854107,3.20096605736374,29.7586616481576
"请/v",1,381,361.952074326314,39.0915914690737,0.000564543689892469,3.24569537912822e-09,0.0739923134186044,2006166.93847294,20.06108232621
"最后/n",1,380,361.002068906823,38.9889599372624,0.000563061947185237,3.41659822655771e-09,0.073992313318957,2000898.44195931,20.0084003327096
"可见/a",-1,26,38.9502221996996,38.696762696511,-0.0003838195482672,0.999999999952944,-0.583119935212684,0.0911826491122784,86.1284512335918
"一个/r",1,2923,2855.71629103163,37.7234590211685,0.00199415904868249,6.09224670711228e-10,0.0335971711539956,1.85701973197765,31.8436944677962
"应该/vu",1,873,839.804790842304,37.1224058999656,0.000983841820400408,1.36021194308e-09,0.055927635502316,4.18067131115789,26.2778787245118
"今天/nt",1,610,584.253332995494,34.4678428721159,0.000763081431860275,6.792447715398e-09,0.0622151834879539,6.42522368602535,22.7140220098988
"叫做/v",1,332,315.401808771231,34.0628209981575,0.000491938297238061,4.01135594740865e-08,0.0739923078299465,1748028.97936251,17.4798391470916
"问/v",1,332,315.401808771231,34.0628209981575,0.000491938297238061,4.01135594740865e-08,0.0739923078299465,1748028.97936251,17.4798391470916
"制约/v",-1,22,33.2501896826704,33.972450044766,-0.000333433871275431,0.999999999481555,-0.595859047043362,0.0890289675324772,76.1419564092435
"又/d",1,1063,1026.95585848476,33.7979091249363,0.00106827866740219,6.29559493425802e-09,0.0497674250607619,3.11115777719074,25.3428836289538
